stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
4792;30.6;79.841;0.0;79.841;79.841;0.0;79.841;168.126;88.285;79.841;715.434;635.593;79.841;611.655;594.39;17.265
4793;31.1;79.669;25.7;53.969;53.969;0.0;53.969;53.969;0.0;53.969;736.621;682.652;53.969;425.404;415.439;9.965
4794;30;152.968;107.36;45.608;45.608;0.0;45.608;45.608;0.0;45.608;590.738;545.13;45.608;222.928;200.737;22.191
4795;28.9;95.081;63.064;32.016;32.016;0.0;32.016;32.016;0.0;32.016;205.506;173.49;32.016;62.698;28.466;34.232
4796;26.7;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;1;0;1
4797;23.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4798;21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4799;21.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4800;20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4801;19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4802;18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4803;17.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4804;16.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
