stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
1822;-3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1823;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1824;-3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1825;-3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1826;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1827;-3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1828;-3.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1829;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1830;-3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1831;-2.3;29.291;0.0;29.291;276.072;246.781;29.291;48.666;19.375;29.291;29.291;0.0;29.291;87.095;15.095;72
1832;-1.7;107.993;0.0;107.993;624.42;516.427;107.993;240.798;132.805;107.993;107.993;0.0;107.993;303.923;141.399;162.524
1833;-0.8;140.036;0.0;140.036;796.083;656.048;140.036;453.022;312.986;140.036;140.036;0.0;140.036;505.832;349.545;156.287
1834;-0.1;146.012;0.0;146.012;767.273;621.261;146.012;644.834;498.822;146.012;146.012;0.0;146.012;673.845;567.244;106.601
1835;0.6;146.768;0.0;146.768;574.984;428.215;146.768;766.039;619.271;146.768;146.768;0.0;146.768;788.252;710.136;78.116
1836;1.1;141.256;0.0;141.256;280.349;139.093;141.256;689.71;548.454;141.256;141.256;0.0;141.256;705.513;631.205;74.308
1837;1.7;155.163;0.0;155.163;155.163;0.0;155.163;516.093;360.93;155.163;208.67;53.507;155.163;578.083;415.548;162.536
1838;2.2;155.235;0.0;155.235;155.235;0.0;155.235;336.337;181.103;155.235;258.603;103.368;155.235;424.743;207.946;216.797
1839;2;132.93;0.0;132.93;132.93;0.0;132.93;324.13;191.2;132.93;340.123;207.192;132.93;381.858;218.037;163.822
1840;1.9;103.518;0.0;103.518;103.518;0.0;103.518;264.278;160.76;103.518;397.274;293.756;103.518;293.001;180.654;112.347
1841;1.7;71.343;0.0;71.343;71.343;0.0;71.343;161.079;89.736;71.343;362.135;290.792;71.343;173.477;97.303;76.175
1842;0.6;25.902;0.0;25.902;25.902;0.0;25.902;46.029;20.127;25.902;189.695;163.793;25.902;47.235;18.705;28.53
1843;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1844;-1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1845;-3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1846;-5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1847;-7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1848;-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1849;-4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1850;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1851;-3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1852;-3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1853;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1854;-1.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1855;-0.8;16.833;0.0;16.833;364.114;347.282;16.833;42.539;25.706;16.833;16.833;0.0;16.833;108.143;23.143;85
1856;0;104.538;0.0;104.538;773.623;669.086;104.538;273.447;168.91;104.538;104.538;0.0;104.538;356.134;187.134;169
1857;2;145.134;0.0;145.134;911.136;766.002;145.134;506.555;361.421;145.134;145.134;0.0;145.134;565.654;413.467;152.188
1858;4.1;157.579;0.0;157.579;812.662;655.083;157.579;679.463;521.884;157.579;157.579;0.0;157.579;726.901;604.327;122.574
1859;6.1;158.544;0.0;158.544;598.543;439.999;158.544;791.411;632.867;158.544;158.544;0.0;158.544;831.065;736.976;94.089
1860;6.8;147.805;0.0;147.805;320.819;173.014;147.805;829.967;682.162;147.805;147.805;0.0;147.805;861.093;796.308;64.785
1861;7.6;132.375;0.0;132.375;132.375;0.0;132.375;808.618;676.243;132.375;234.838;102.463;132.375;833.553;789.595;43.958
1862;8.3;114.166;0.0;114.166;114.166;0.0;114.166;713.329;599.163;114.166;460.521;346.355;114.166;740.689;698.316;42.373
1863;8.3;86.87;0.0;86.87;86.87;0.0;86.87;588.414;501.543;86.87;637.333;550.463;86.87;606.726;581.829;24.896
1864;8.3;49.55;0.0;49.55;49.55;0.0;49.55;414.672;365.123;49.55;727.042;677.492;49.55;425.332;419.383;5.949
1865;8.3;25.542;0.0;25.542;25.542;0.0;25.542;223.316;197.774;25.542;681.03;655.488;25.542;224.281;221.723;2.558
1866;5.9;13.771;0.0;13.771;13.771;0.0;13.771;56.892;43.12;13.771;383.535;369.764;13.771;51.274;43.501;7.773
1867;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1868;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1869;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1870;-0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1871;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1872;-0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1873;-0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1874;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1875;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1876;-1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1877;-1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1878;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1879;3.9;19.029;0.0;19.029;403.107;384.077;19.029;45.738;26.708;19.029;19.029;0.0;19.029;116.702;27.702;89
1880;6.7;106.663;0.0;106.663;779.202;672.539;106.663;273.28;166.618;106.663;106.663;0.0;106.663;361.069;192.069;169
1881;9.7;143.394;0.0;143.394;910.274;766.88;143.394;501.209;357.815;143.394;143.394;0.0;143.394;564.929;419.308;145.621
1882;12.6;153.443;0.0;153.443;802.265;648.822;153.443;666.289;512.845;153.443;153.443;0.0;153.443;718.306;604.732;113.574
1883;15.6;151.671;0.0;151.671;583.209;431.539;151.671;768.996;617.326;151.671;151.671;0.0;151.671;812.953;730.033;82.92
1884;16.9;138.652;0.0;138.652;306.042;167.39;138.652;798.662;660.01;138.652;138.652;0.0;138.652;834.933;781.479;53.454
1885;18.1;126.055;0.0;126.055;126.055;0.0;126.055;758.206;632.151;126.055;223.954;97.899;126.055;800.46;748.585;51.875
1886;19.4;104.447;0.0;104.447;104.447;0.0;104.447;671.751;567.304;104.447;436.614;332.167;104.447;705.525;671.157;34.368
1887;18.1;82.933;0.0;82.933;82.933;0.0;82.933;548.16;465.228;82.933;600.161;517.228;82.933;573.331;549.075;24.257
1888;16.9;61.859;0.0;61.859;61.859;0.0;61.859;386.681;324.822;61.859;674.023;612.164;61.859;401.37;381.4;19.97
1889;15.6;43.276;0.0;43.276;43.276;0.0;43.276;211.479;168.202;43.276;613.753;570.477;43.276;215.466;195.035;20.431
1890;13.2;17.215;0.0;17.215;17.215;0.0;17.215;54.044;36.829;17.215;350.985;333.771;17.215;51.845;40.411;11.433
1891;10.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1892;8.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1893;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1894;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1895;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1896;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1897;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1898;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1899;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1900;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1901;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1902;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1903;3.3;25.117;0.0;25.117;324.584;299.468;25.117;44.602;19.486;25.117;25.117;0.0;25.117;108.245;23.245;85
1904;3.9;111.969;0.0;111.969;695.397;583.428;111.969;253.77;141.801;111.969;111.969;0.0;111.969;330.432;170.073;160.359
1905;5.7;141.229;0.0;141.229;845.6;704.371;141.229;466.19;324.961;141.229;141.229;0.0;141.229;536.913;390.079;146.835
1906;7.6;148.042;0.0;148.042;787.502;639.46;148.042;649.499;501.457;148.042;148.042;0.0;148.042;705.216;602.133;103.082
1907;9.4;151.835;0.0;151.835;582.162;430.327;151.835;764.07;612.236;151.835;151.835;0.0;151.835;817.487;735.261;82.226
1908;10.7;134.329;0.0;134.329;291.767;157.438;134.329;755.181;620.852;134.329;134.329;0.0;134.329;798.022;745.655;52.367
1909;12;128.138;0.0;128.138;128.138;0.0;128.138;690.034;561.895;128.138;217.083;88.945;128.138;723.728;674.852;48.876
1910;13.3;126.81;0.0;126.81;126.81;0.0;126.81;573.201;446.391;126.81;391.581;264.771;126.81;604.237;536.101;68.136
1911;13.7;109.796;0.0;109.796;109.796;0.0;109.796;471.136;361.34;109.796;516.794;406.998;109.796;496.703;433.904;62.799
1912;14;93.423;0.0;93.423;93.423;0.0;93.423;332.269;238.846;93.423;550.721;457.298;93.423;354.467;286.735;67.732
1913;14.4;67.791;0.0;67.791;67.791;0.0;67.791;182.653;114.863;67.791;466.66;398.87;67.791;198.485;137.803;60.681
1914;11.5;27.208;0.0;27.208;27.208;0.0;27.208;50.748;23.539;27.208;253.401;226.193;27.208;55.153;28.159;26.994
1915;8.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1916;5.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1917;3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1918;2.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1919;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1920;-0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1921;-1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1922;-2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1923;-2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1924;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1925;-3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1926;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1927;-2.5;8.192;0.0;8.192;9.187;0.995;8.192;8.252;0.06;8.192;8.192;0.0;8.192;15.083;0.083;15
1928;-2.2;23.961;0.0;23.961;24.895;0.934;23.961;24.184;0.223;23.961;23.961;0.0;23.961;46.278;0.278;46
1929;-1.6;58.245;0.0;58.245;67.522;9.277;58.245;62.477;4.231;58.245;58.245;0.0;58.245;114.818;5.203;109.615
1930;-1;99.384;0.0;99.384;120.73;21.346;99.384;115.99;16.606;99.384;99.384;0.0;99.384;203.404;20.306;183.098
1931;-0.6;133.847;0.0;133.847;179.36;45.513;133.847;198.245;64.398;133.847;133.847;0.0;133.847;299.17;78.541;220.63
1932;0.5;147.614;0.0;147.614;159.674;12.059;147.614;195.18;47.566;147.614;147.614;0.0;147.614;321.657;57.948;263.709
1933;1.7;147.748;0.0;147.748;147.748;0.0;147.748;195.296;47.548;147.748;155.441;7.693;147.748;321.835;57.92;263.915
1934;2.8;133.373;0.0;133.373;133.373;0.0;133.373;197.942;64.569;133.373;172.174;38.801;133.373;298.398;78.723;219.675
1935;2.8;126.744;0.0;126.744;126.744;0.0;126.744;193.9;67.156;126.744;203.389;76.645;126.744;290.477;82.055;208.422
1936;2.8;103.063;0.0;103.063;103.063;0.0;103.063;174.572;71.509;103.063;242.187;139.125;103.063;242.172;87.784;154.388
1937;2.8;69.789;0.0;69.789;69.789;0.0;69.789;118.874;49.084;69.789;244.406;174.617;69.789;157.032;60.954;96.078
1938;1.3;25.504;0.0;25.504;25.504;0.0;25.504;35.051;9.547;25.504;123.133;97.629;25.504;49.041;12.486;36.554
1939;-0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1940;-1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1941;-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1942;-2.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1943;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1944;-3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1945;-3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1946;-3.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1947;-3.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1948;-3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1949;-2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1950;-0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1951;0.9;40.228;0.0;40.228;335.607;295.378;40.228;56.816;16.587;40.228;40.228;0.0;40.228;118.182;26.182;92
1952;2.8;113.281;0.0;113.281;711.142;597.862;113.281;252.987;139.707;113.281;113.281;0.0;113.281;338.992;181.381;157.611
1953;5.2;136.366;0.0;136.366;819.976;683.61;136.366;444.601;308.235;136.366;136.366;0.0;136.366;518.19;388.236;129.954
1954;7.6;144.434;0.0;144.434;709.852;565.418;144.434;580.781;436.347;144.434;144.434;0.0;144.434;645.49;543.333;102.156
1955;10;145.679;0.0;145.679;508.242;362.563;145.679;655.856;510.177;145.679;145.679;0.0;145.679;714.915;631.905;83.01
1956;9.4;163.27;0.0;163.27;252.048;88.777;163.27;513.54;350.269;163.27;163.27;0.0;163.27;604.908;432.86;172.048
1957;8.9;167.574;0.0;167.574;167.574;0.0;167.574;353.499;185.926;167.574;198.322;30.749;167.574;461.331;229.72;231.611
1958;8.3;134.212;0.0;134.212;134.212;0.0;134.212;198.536;64.323;134.212;173.377;39.164;134.212;300.521;79.618;220.904
1959;7.4;134.575;0.0;134.575;134.575;0.0;134.575;254.014;119.439;134.575;272.717;138.143;134.575;342.664;148.509;194.156
1960;6.5;107.088;0.0;107.088;107.088;0.0;107.088;263.251;156.164;107.088;415.894;308.806;107.088;310.718;196.063;114.655
1961;5.6;70.381;0.0;70.381;70.381;0.0;70.381;180.496;110.115;70.381;471.924;401.543;70.381;205.588;141.599;63.989
1962;4.8;31.179;0.0;31.179;31.179;0.0;31.179;51.106;19.927;31.179;248.937;217.758;31.179;61.612;28.588;33.024
1963;4.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1964;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1965;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1966;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1967;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1968;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1969;-0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1970;-0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1971;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1972;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1973;-0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1974;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1975;-0.5;19.899;0.0;19.899;65.273;45.375;19.899;22.245;2.346;19.899;19.899;0.0;19.899;39.562;4.272;35.289
1976;-0.6;56.212;0.0;56.212;118.048;61.835;56.212;70.373;14.16;56.212;56.212;0.0;56.212;116.619;19.128;97.491
1977;1.3;119.947;0.0;119.947;361.194;241.247;119.947;227.464;107.517;119.947;119.947;0.0;119.947;300.703;138.72;161.982
1978;3.1;147.649;0.0;147.649;569.455;421.806;147.649;470.54;322.89;147.649;147.649;0.0;147.649;549.626;409.433;140.193
1979;5;143.566;0.0;143.566;560.67;417.105;143.566;727.24;583.674;143.566;143.566;0.0;143.566;802.735;734.201;68.535
1980;8.7;133.686;0.0;133.686;292.709;159.023;133.686;761.337;627.651;133.686;133.686;0.0;133.686;832.619;786.818;45.801
1981;12.4;124.123;0.0;124.123;124.123;0.0;124.123;729.115;604.992;124.123;226.39;102.267;124.123;806.604;758.197;48.408
1982;16.1;105.576;0.0;105.576;105.576;0.0;105.576;652.596;547.02;105.576;443.074;337.498;105.576;721.397;687.428;33.969
1983;13.1;84.85;0.0;84.85;84.85;0.0;84.85;531.505;446.655;84.85;608.446;523.596;84.85;589.794;565.186;24.608
1984;10.2;65.17;0.0;65.17;65.17;0.0;65.17;374.007;308.837;65.17;686.043;620.873;65.17;418.293;396.62;21.673
1985;7.2;47.799;0.0;47.799;47.799;0.0;47.799;203.582;155.782;47.799;630.45;582.651;47.799;231.226;207.534;23.693
1986;5.4;23.421;0.0;23.421;23.421;0.0;23.421;53.399;29.978;23.421;375.139;351.718;23.421;64.693;47.363;17.33
1987;3.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1988;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1989;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1990;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1991;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1992;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1993;-0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1994;-0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1995;-0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1996;-0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1997;-1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1998;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1999;3;44.749;0.0;44.749;280.32;235.571;44.749;55.887;11.138;44.749;44.749;0.0;44.749;114.48;23.48;91
2000;5;111.426;0.0;111.426;606.041;494.615;111.426;222.385;110.959;111.426;111.426;0.0;111.426;312.439;155.951;156.487
2001;7.4;130.416;0.0;130.416;608.815;478.398;130.416;341.129;210.712;130.416;130.416;0.0;130.416;424.237;278.487;145.749
2002;9.8;150.195;0.0;150.195;443.642;293.447;150.195;372.999;222.803;150.195;150.195;0.0;150.195;468.636;287.704;180.932
2003;12.2;164.321;0.0;164.321;290.448;126.127;164.321;339.833;175.512;164.321;164.321;0.0;164.321;453.315;224.218;229.098
2004;12.4;172.249;0.0;172.249;231.008;58.759;172.249;404.265;232.016;172.249;172.249;0.0;172.249;523.397;295.049;228.349
2005;12.6;163.637;0.0;163.637;163.637;0.0;163.637;460.764;297.126;163.637;214.972;51.335;163.637;558.614;377.711;180.903
2006;12.8;149.11;0.0;149.11;149.11;0.0;149.11;452.663;303.554;149.11;338.907;189.798;149.11;545.457;387.315;158.143
2007;12.2;123.291;0.0;123.291;123.291;0.0;123.291;432.8;309.509;123.291;491.08;367.789;123.291;487.117;398.606;88.511
2008;11.7;94.463;0.0;94.463;94.463;0.0;94.463;328.952;234.489;94.463;573.827;479.364;94.463;373.49;308.083;65.407
2009;11.1;62.216;0.0;62.216;62.216;0.0;62.216;191.381;129.165;62.216;558.021;495.805;62.216;223.145;178.352;44.793
2010;9.4;30.053;0.0;30.053;30.053;0.0;30.053;53.295;23.242;30.053;324.4;294.347;30.053;68.079;40.627;27.452
2011;7.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012;6.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2013;6.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2014;7.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2015;7.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2016;5.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2018;1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020;-0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021;-1.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;3.2;47.115;0.0;47.115;380.968;333.853;47.115;61.422;14.308;47.115;47.115;0.0;47.115;139.118;35.118;104
2024;5.6;115.094;0.0;115.094;710.585;595.491;115.094;245.906;130.812;115.094;115.094;0.0;115.094;361.311;191.311;170
2025;9.3;141.635;0.0;141.635;894.589;752.954;141.635;469.349;327.714;141.635;141.635;0.0;141.635;575.718;443.677;132.041
2026;13;153.961;0.0;153.961;800.194;646.233;153.961;640.593;486.632;153.961;153.961;0.0;153.961;746.284;639.92;106.364
2027;16.7;153.764;0.0;153.764;595.851;442.087;153.764;765.495;611.73;153.764;153.764;0.0;153.764;863.422;793.683;69.739
2028;20.2;148.642;0.0;148.642;312.109;163.468;148.642;794.423;645.782;148.642;148.642;0.0;148.642;893.307;833.086;60.221
